Order ID,Customer Name,Segment,Order Date,State,Postal Code,Category,Ship Date,Days to Ship,Quantity,Sales
CA-2019-111150,Rob Williams,Corporate,31-Dec-19,Missouri,65203,Office Supplies,04-Jan-20,4,7,$29.7
,,,,,,Technology,04-Jan-20,4,7,$47.5
CA-2019-127383,Candace McMahon,Corporate,31-Dec-19,Texas,79907,Office Supplies,05-Jan-20,5,2,$49.6
CA-2019-133592,Katherine Murray,Home Office,31-Dec-19,Rhode Island,02908,Furniture,07-Jan-20,7,8,$947.8
,,,,,,Office Supplies,07-Jan-20,7,7,$210.6
,,,,,,Technology,07-Jan-20,7,4,"$1,687.8"
CA-2019-150245,Pamela Coakley,Corporate,31-Dec-19,New York,13601,Furniture,04-Jan-20,4,7,"$1,573.5"
CA-2019-157644,Aaron Hawkins,Corporate,31-Dec-19,New York,10035,Office Supplies,01-Jan-20,1,3,$18.9
,,,,,,Technology,01-Jan-20,1,3,$34.8
US-2019-133949,James Lanier,Home Office,31-Dec-19,Nevada,89502,Technology,31-Dec-19,0,7,$475.9
US-2019-143231,Gary Mitchum,Home Office,31-Dec-19,Massachusetts,02038,Furniture,03-Jan-20,3,5,$63.2
,,,,,,Technology,03-Jan-20,3,3,$114.0
CA-2019-104738,Stefania Perrino,Corporate,30-Dec-19,Texas,78041,Office Supplies,01-Jan-20,2,6,$15.3
,,,,,,Technology,01-Jan-20,2,7,$594.3
CA-2019-130960,Ken Brennan,Corporate,30-Dec-19,Michigan,48180,Office Supplies,04-Jan-20,5,3,$9.8
CA-2019-131800,Astrea Jones,Consumer,30-Dec-19,New York,10035,Office Supplies,04-Jan-20,5,10,$158.4
CA-2019-138072,Guy Armstrong,Consumer,30-Dec-19,Pennsylvania,19120,Technology,03-Jan-20,4,2,$28.0
CA-2019-166730,Dorothy Dickinson,Consumer,30-Dec-19,Tennessee,38109,Office Supplies,01-Jan-20,2,1,$39.1
US-2019-115189,Alex Russell,Corporate,30-Dec-19,Pennsylvania,19143,Furniture,03-Jan-20,4,3,$523.8
,,,,,,Technology,03-Jan-20,4,6,$252.0
US-2019-169789,Maureen Fritzler,Corporate,30-Dec-19,Arizona,85023,Office Supplies,04-Jan-20,5,5,$552.0
CA-2019-102330,Arianne Irving,Consumer,29-Dec-19,California,94513,Office Supplies,03-Jan-20,5,6,$88.8
,,,,,,Technology,03-Jan-20,5,4,$320.0
CA-2019-106803,Debra Catini,Consumer,29-Dec-19,Minnesota,55016,Office Supplies,02-Jan-20,4,2,$24.6
,,,,,,Technology,02-Jan-20,4,4,$119.8
CA-2019-110786,Anthony Johnson,Corporate,29-Dec-19,California,94110,Furniture,02-Jan-20,4,11,$95.5
,,,,,,Office Supplies,02-Jan-20,4,16,$310.2
,,,,,,Technology,02-Jan-20,4,9,$959.9
CA-2019-118276,Michael Granlund,Home Office,29-Dec-19,Illinois,60174,Furniture,02-Jan-20,4,3,$8.7
CA-2019-126802,Zuschuss Carroll,Consumer,29-Dec-19,Illinois,60610,Furniture,05-Jan-20,7,3,$39.0
CA-2019-152345,Shui Tom,Consumer,29-Dec-19,New Mexico,87105,Office Supplies,03-Jan-20,5,1,$33.3
,,,,,,Technology,03-Jan-20,5,3,$24.0
CA-2019-165477,Ricardo Emerson,Consumer,29-Dec-19,Ohio,44240,Office Supplies,31-Dec-19,2,5,$48.4
CA-2019-141313,Anthony Jacobs,Corporate,28-Dec-19,Massachusetts,01915,Office Supplies,01-Jan-20,4,15,"$2,583.2"
CA-2019-143371,Maribeth Dona,Consumer,28-Dec-19,California,92804,Office Supplies,03-Jan-20,6,14,"$1,050.0"
CA-2019-164259,Sung Pak,Corporate,28-Dec-19,Pennsylvania,19143,Office Supplies,30-Dec-19,2,4,$99.1
CA-2019-120243,Alyssa Tate,Home Office,27-Dec-19,California,90004,Office Supplies,30-Dec-19,3,4,$11.6
CA-2019-148383,Resi Pölking,Consumer,27-Dec-19,Arizona,85023,Office Supplies,31-Dec-19,4,6,$946.8
CA-2019-153087,Tamara Chand,Corporate,27-Dec-19,Alabama,35601,Office Supplies,03-Jan-20,7,4,$23.9
,,,,,,Technology,03-Jan-20,7,5,$498.0
CA-2019-162866,Corey-Lock,Consumer,27-Dec-19,Illinois,60076,Furniture,31-Dec-19,4,6,$33.0
,,,,,,Office Supplies,31-Dec-19,4,4,$30.0
CA-2019-163447,Thomas Brumley,Home Office,27-Dec-19,New York,10011,Furniture,31-Dec-19,4,14,$767.2
CA-2019-165393,Nathan Cano,Consumer,27-Dec-19,Texas,76106,Office Supplies,30-Dec-19,3,1,$5.0
CA-2019-166961,Cynthia Delaney,Home Office,27-Dec-19,California,92553,Office Supplies,31-Dec-19,4,10,$107.3
US-2019-106334,Jeremy Farry,Consumer,27-Dec-19,California,94122,Furniture,02-Jan-20,6,3,$230.3
,,,,,,Office Supplies,02-Jan-20,6,3,$12.8
US-2019-159611,Karl Braun,Consumer,27-Dec-19,Ohio,44105,Furniture,01-Jan-20,5,3,$182.4
,,,,,,Office Supplies,01-Jan-20,5,2,$118.2
CA-2019-101427,Andy Yotov,Corporate,26-Dec-19,Pennsylvania,19140,Office Supplies,30-Dec-19,4,3,$8.0
CA-2019-106264,Clytie Kelty,Consumer,26-Dec-19,California,92024,Furniture,30-Dec-19,4,2,$3.5
,,,,,,Office Supplies,30-Dec-19,4,3,$11.9
CA-2019-111451,Kelly Lampkin,Corporate,26-Dec-19,Colorado,80906,Furniture,28-Dec-19,2,14,$749.1
,,,,,,Office Supplies,28-Dec-19,2,8,$106.2
CA-2019-139598,Maureen Gnade,Consumer,26-Dec-19,Pennsylvania,19134,Office Supplies,31-Dec-19,5,11,$361.6
CA-2019-168473,Tracy Blumstein,Consumer,26-Dec-19,New York,10009,Office Supplies,01-Jan-20,6,6,$191.9
US-2019-111171,Christina Anderson,Consumer,26-Dec-19,Illinois,60610,Office Supplies,31-Dec-19,5,5,$8.7
US-2019-152030,Alan Dominguez,Home Office,26-Dec-19,Texas,77041,Furniture,28-Dec-19,2,3,$600.6
CA-2019-113166,Luke Foster,Consumer,24-Dec-19,Florida,33180,Office Supplies,26-Dec-19,2,2,$9.6
CA-2019-132913,Adam Shillingsburg,Consumer,24-Dec-19,California,92037,Office Supplies,26-Dec-19,2,1,$14.0
CA-2019-156314,Resi Pölking,Consumer,24-Dec-19,Ohio,44105,Furniture,26-Dec-19,2,5,$30.4
US-2019-138247,Ben Ferrer,Home Office,24-Dec-19,California,90045,Furniture,29-Dec-19,5,1,$24.0
,,,,,,Office Supplies,29-Dec-19,5,3,$382.3
,,,,,,Technology,29-Dec-19,5,13,"$1,054.9"
US-2019-167738,Julie Creighton,Corporate,24-Dec-19,California,90045,Furniture,29-Dec-19,5,6,$292.3
,,,,,,Office Supplies,29-Dec-19,5,1,$142.9
CA-2019-114517,Tiffany House,Corporate,23-Dec-19,New York,10024,Furniture,27-Dec-19,4,2,$53.3
,,,,,,Office Supplies,27-Dec-19,4,3,$56.5
CA-2019-126333,Michelle Ellison,Corporate,23-Dec-19,Texas,77642,Office Supplies,28-Dec-19,5,1,$5.2
CA-2019-142314,Sarah Foster,Consumer,23-Dec-19,Indiana,47374,Office Supplies,28-Dec-19,5,11,$207.2
CA-2019-154158,Craig Carreira,Consumer,23-Dec-19,Florida,33614,Furniture,27-Dec-19,4,1,$64.8
,,,,,,Office Supplies,27-Dec-19,4,11,$555.1
CA-2019-101364,Tamara Willingham,Home Office,22-Dec-19,New York,10011,Office Supplies,26-Dec-19,4,13,$296.7
CA-2019-133543,Khloe Miller,Consumer,22-Dec-19,California,95123,Office Supplies,26-Dec-19,4,4,$11.8
CA-2019-142510,Nora Preis,Consumer,22-Dec-19,Illinois,60623,Office Supplies,29-Dec-19,7,11,$274.1
CA-2019-146864,Bradley Talbott,Home Office,22-Dec-19,New York,10024,Office Supplies,26-Dec-19,4,4,$216.4
CA-2019-109127,John Castell,Consumer,21-Dec-19,Delaware,19711,Office Supplies,25-Dec-19,4,6,$17.3
CA-2019-134621,Dennis Pardue,Home Office,21-Dec-19,Tennessee,38401,Office Supplies,28-Dec-19,7,2,$18.2
CA-2019-154893,Gary McGarr,Consumer,21-Dec-19,California,92024,Furniture,27-Dec-19,6,9,"$1,897.9"
CA-2019-103100,Adrian Barton,Consumer,20-Dec-19,Indiana,46203,Office Supplies,23-Dec-19,3,4,"$1,107.7"
CA-2019-120852,William Brown,Consumer,20-Dec-19,Texas,75051,Office Supplies,25-Dec-19,5,2,$19.4
,,,,,,Technology,25-Dec-19,5,5,$65.4
CA-2019-134551,Tony Sayre,Consumer,20-Dec-19,Tennessee,38401,Furniture,25-Dec-19,5,3,$662.9
,,,,,,Office Supplies,25-Dec-19,5,12,$69.4
CA-2019-136567,Penelope Sewall,Home Office,20-Dec-19,Virginia,22801,Furniture,21-Dec-19,1,9,"$2,699.6"
,,,,,,Office Supplies,21-Dec-19,1,5,$184.8
CA-2019-138681,Carol Triggs,Consumer,20-Dec-19,Arizona,85705,Furniture,22-Dec-19,2,5,$294.3
,,,,,,Office Supplies,22-Dec-19,2,7,$230.4
,,,,,,Technology,22-Dec-19,2,3,$72.0
CA-2019-140816,Toby Carlisle,Consumer,20-Dec-19,Colorado,80229,Technology,20-Dec-19,0,7,$447.9
CA-2019-156594,Michael Chen,Consumer,20-Dec-19,California,90008,Office Supplies,23-Dec-19,3,10,$694.5
CA-2019-160157,Mark Hamilton,Consumer,20-Dec-19,Ohio,45011,Furniture,27-Dec-19,7,3,$190.8
CA-2019-163412,Suzanne McNair,Corporate,20-Dec-19,New York,10035,Furniture,23-Dec-19,3,3,$192.2
US-2019-109036,Keith Herrera,Consumer,20-Dec-19,Washington,98103,Office Supplies,25-Dec-19,5,3,$31.1
CA-2019-120768,Irene Maddox,Consumer,19-Dec-19,Alabama,35630,Furniture,21-Dec-19,2,14,"$1,819.9"
,,,,,,Office Supplies,21-Dec-19,2,7,$160.0
CA-2019-162992,Bart Pistole,Corporate,19-Dec-19,California,90008,Office Supplies,21-Dec-19,2,7,$37.2
,,,,,,Technology,21-Dec-19,2,9,$795.0
CA-2019-169446,Speros Goranitis,Consumer,19-Dec-19,Illinois,60623,Office Supplies,25-Dec-19,6,6,$48.1
,,,,,,Technology,25-Dec-19,6,3,$324.0
US-2019-150574,Mike Kennedy,Consumer,19-Dec-19,Florida,32216,Office Supplies,25-Dec-19,6,2,$4.8
,,,,,,Technology,25-Dec-19,6,5,$247.8
CA-2019-123925,Roy Französisch,Consumer,17-Dec-19,Georgia,31907,Office Supplies,19-Dec-19,2,3,$40.1
CA-2019-139633,Erin Creighton,Consumer,17-Dec-19,Ohio,43229,Office Supplies,24-Dec-19,7,4,$5.5
CA-2019-100706,Laurel Elliston,Consumer,16-Dec-19,Virginia,22153,Furniture,18-Dec-19,2,6,$29.5
,,,,,,Technology,18-Dec-19,2,2,$100.0
CA-2019-108273,Ed Jacobs,Consumer,16-Dec-19,Texas,77340,Furniture,21-Dec-19,5,2,$56.6
,,,,,,Office Supplies,21-Dec-19,5,7,$36.3
CA-2019-112718,Kean Nguyen,Corporate,16-Dec-19,Florida,32216,Office Supplies,21-Dec-19,5,1,$1.2
CA-2019-113257,Sean Christensen,Consumer,16-Dec-19,Texas,77705,Furniture,18-Dec-19,2,7,$8.6
,,,,,,Technology,18-Dec-19,2,4,$320.0
CA-2019-124247,Stefanie Holloman,Corporate,16-Dec-19,California,95823,Furniture,21-Dec-19,5,5,"$1,403.9"
CA-2019-136399,Chad Cunningham,Home Office,16-Dec-19,California,90049,Furniture,17-Dec-19,1,4,$286.0
,,,,,,Technology,17-Dec-19,1,9,"$1,022.2"
CA-2019-151379,Steve Chapman,Corporate,16-Dec-19,Michigan,48227,Office Supplies,20-Dec-19,4,5,$114.2
CA-2019-153913,Ken Black,Corporate,16-Dec-19,Florida,33012,Furniture,20-Dec-19,4,9,"$1,013.8"
,,,,,,Office Supplies,20-Dec-19,4,2,$2.0
CA-2019-101602,Mick Crebagga,Consumer,15-Dec-19,Texas,79907,Furniture,18-Dec-19,3,5,$763.3
,,,,,,Technology,18-Dec-19,3,3,$40.7
CA-2019-116673,Jas O'Carroll,Consumer,15-Dec-19,California,92037,Furniture,19-Dec-19,4,2,$6.2
CA-2019-119466,Sung Pak,Corporate,15-Dec-19,Illinois,60623,Furniture,21-Dec-19,6,2,$8.5
CA-2019-129938,Ed Braxton,Corporate,15-Dec-19,Pennsylvania,19140,Furniture,17-Dec-19,2,7,$445.8
CA-2019-116568,Bryan Mills,Consumer,14-Dec-19,Florida,32725,Furniture,20-Dec-19,6,4,$186.3
CA-2019-130575,Cari Sayre,Corporate,14-Dec-19,Illinois,60623,Office Supplies,16-Dec-19,2,3,$9.3
CA-2019-145541,Tom Boeckenhauer,Consumer,14-Dec-19,New York,10024,Technology,21-Dec-19,7,4,"$7,000.0"
CA-2019-148950,Joy Daniels,Consumer,14-Dec-19,Illinois,60610,Office Supplies,19-Dec-19,5,6,$8.0
,,,,,,Technology,19-Dec-19,5,3,$35.0
US-2019-123519,Sung Shariari,Consumer,14-Dec-19,Ohio,43302,Furniture,21-Dec-19,7,1,$136.5
,,,,,,Office Supplies,21-Dec-19,7,1,$2.6
,,,,,,Technology,21-Dec-19,7,1,$264.0
CA-2019-113579,Katherine Ducich,Consumer,13-Dec-19,California,90049,Office Supplies,15-Dec-19,2,6,$90.2
CA-2019-124079,Randy Ferguson,Corporate,13-Dec-19,Arizona,85023,Furniture,17-Dec-19,4,3,$88.0
,,,,,,Office Supplies,17-Dec-19,4,2,$5.2
CA-2019-129819,Kimberly Carter,Corporate,13-Dec-19,Kentucky,42420,Office Supplies,15-Dec-19,2,3,$12.4
CA-2019-154186,Ralph Arnett,Consumer,13-Dec-19,Texas,77070,Office Supplies,15-Dec-19,2,1,$2.9
US-2019-102631,Ellis Ballard,Corporate,13-Dec-19,Illinois,60623,Furniture,17-Dec-19,4,3,$94.4
CA-2019-107573,Philip Brown,Consumer,12-Dec-19,Florida,33178,Office Supplies,17-Dec-19,5,3,$23.5
CA-2019-113320,Logan Haushalter,Consumer,12-Dec-19,California,94601,Furniture,15-Dec-19,3,6,$21.8
,,,,,,Office Supplies,15-Dec-19,3,3,$8.9
CA-2019-141607,William Brown,Consumer,12-Dec-19,California,94521,Furniture,17-Dec-19,5,1,$43.3
CA-2019-168494,Nora Preis,Consumer,12-Dec-19,California,93727,Furniture,14-Dec-19,2,21,"$4,630.5"
